Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,TotalSpent_RM,Num_of_Baskets,Day,Time_Of_The_Day,buyDrink,temp,feelslike,dew,humidity,precip,precipprob,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions
malay,male,moderate,28.0,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,20.0,9.0,1.0,Monday,Evening,1,28.9,34.1,24.8,78.33,0.0,0.0,,31.7,5.3,143.0,1009.9,89.1,4.0,0.0,1.3,0.0,Partially cloudy
,male,thin,32.0,no,no_kids,big,,casual,white,short_sleeve,blue_jeans,long,,6,9,no,19.0,21.0,3.0,Monday,Evening,1,28.9,34.1,24.8,78.33,0.0,0.0,,31.7,5.3,143.0,1009.9,89.1,4.0,0.0,1.3,0.0,Partially cloudy
malay,female,moderate,30.0,no,no_kids,big,blue,casual,red,short_sleeve,black,long,,4,10,no,18.0,13.0,1.0,Monday,Evening,1,28.0,32.0,24.0,79.11,0.0,0.0,,31.7,5.4,107.0,1011.4,89.1,4.0,0.0,1.3,0.0,Partially cloudy
indian,male,thin,51.0,no,no_kids,,black,casual,black,short_sleeve,yellow,short,clothes,5,9,no,13.0,16.0,1.0,Monday,Night,1,28.0,32.0,24.0,79.06,0.0,0.0,,31.7,1.8,96.0,1011.4,89.1,3.0,0.0,1.3,0.0,Partially cloudy
indian,male,,34.0,no,no_kids,big,blue,casual,blue,,white,long,clothes,3,9,,15.0,13.0,3.0,Monday,Night,1,28.0,32.0,24.0,79.06,0.0,0.0,,31.7,1.8,96.0,1011.4,89.1,3.0,0.0,1.3,0.0,Partially cloudy
,male,fat,50.0,no,no_kids,,,casual,brown,,blue_jeans,long,clothes,4,8,no,35.0,16.0,3.0,Monday,Night,1,28.0,33.5,26.0,88.97,0.0,0.0,,31.7,5.4,67.0,1011.4,100.0,1.0,0.0,1.3,0.0,Overcast
,female,fat,45.0,no,no_kids,big,pink,traditional,blue,,black,long,clothes,5,10,no,30.0,17.0,2.0,Monday,Night,1,28.0,33.6,26.0,88.92,0.0,0.0,,31.7,5.4,24.0,1011.4,100.0,1.0,0.0,1.3,0.0,Overcast
indian,male,thin,49.0,,,big,blue,casual,white,short_sleeve,brown,long,clothes,3,9,,46.0,16.0,3.0,Tuesday,Morning,0,27.0,30.1,24.0,83.87,0.0,0.0,,31.7,3.7,291.0,1011.4,89.1,3.0,0.0,1.3,0.0,Partially cloudy
indian,male,thin,30.0,no,no_kids,small,purple,casual,,short_sleeve,black,short,,6,10,no,60.0,17.0,2.0,Tuesday,Morning,1,26.6,26.6,25.0,90.87,0.0,0.0,,31.7,3.2,338.0,1011.4,91.6,2.2,0.0,1.3,0.0,Overcast
chinese,,moderate,33.0,no,no_kids,small,pink,casual,white,short_sleeve,blue_jeans,short,,5,7,no,23.0,10.0,3.0,Tuesday,Morning,0,27.0,30.5,25.0,88.99,0.0,0.0,,31.7,1.9,350.0,1011.4,89.1,3.0,0.0,1.3,0.0,Partially cloudy
,female,,45.0,no,no_kids,big,red,,,short_sleeve,grey,short,,4,8,no,56.0,21.0,3.0,Tuesday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,28.0,1011.4,89.1,2.0,0.0,1.3,0.0,Partially cloudy
,male,moderate,37.0,no,no_kids,big,blue,casual,brown,short_sleeve,,long,,4,8,,36.0,18.0,3.0,Tuesday,Morning,1,25.0,25.0,23.0,88.89,0.0,0.0,,31.7,5.3,38.0,1011.4,89.1,2.0,27.2,0.1,0.0,Partially cloudy
malay,female,moderate,40.0,no,no_kids,big,blue,casual,blue,long sleeve,blue_jeans,long,clothes,3,7,no,15.0,7.0,3.0,Tuesday,Morning,1,25.0,25.0,23.4,90.77,0.0,0.0,,31.7,4.0,9.0,1011.4,91.6,1.6,28.3,0.1,0.0,Overcast
,male,moderate,32.0,no,no_kids,big,yellow,,yellow,short_sleeve,black,long,clothes,3,9,yes,15.0,7.0,1.0,Tuesday,Morning,1,26.0,26.0,23.4,85.53,0.0,0.0,,31.7,2.2,68.0,1011.4,100.0,1.6,392.4,1.4,4.0,Overcast
malay,female,moderate,55.0,yes,young,big,red,,brown,long sleeve,grey,long,clothes,3,8,yes,23.0,11.0,3.0,Tuesday,Morning,1,29.0,33.6,24.0,74.72,0.0,0.0,,31.7,9.2,129.0,1011.4,100.0,1.0,524.5,1.9,5.0,Overcast
,male,thin,33.0,no,no_kids,big,brown,formal,,long sleeve,brown,long,,5,9,,39.0,9.0,1.0,Tuesday,Morning,0,29.8,35.8,24.9,75.04,0.0,0.0,,31.7,9.8,141.0,1012.2,100.0,1.0,723.3,2.6,7.0,Overcast
malay,female,thin,55.0,yes,toddler ,big,blue,casual,brown,long sleeve,grey,long,clothes,4,7,no,46.0,11.0,1.0,Tuesday,Morning,0,29.8,35.8,24.9,75.04,0.0,0.0,,31.7,11.1,159.0,1012.0,100.0,1.0,642.5,2.3,6.0,Overcast
malay,male,fat,40.0,yes,toddler,big,,,grey,,grey,long,clothes,5,9,no,53.0,14.0,2.0,Tuesday,Morning,1,29.8,35.8,24.9,75.04,0.0,0.0,,31.7,11.1,159.0,1012.0,100.0,1.0,642.5,2.3,6.0,Overcast
malay,female,fat,55.0,yes,,big,blue,traditional,,long sleeve,orange,long,clothes,6,7,,48.0,16.0,1.0,Tuesday,Morning,1,29.8,35.8,24.9,75.04,0.0,0.0,,31.7,11.1,159.0,1012.0,100.0,1.0,642.5,2.3,6.0,Overcast
malay,female,moderate,50.0,yes,young,big,pink,casual,green,long sleeve,grey,long,clothes,5,10,no,35.0,8.0,2.0,Tuesday,Morning,0,29.8,35.8,24.9,75.04,0.0,0.0,,31.7,11.1,159.0,1012.0,100.0,1.0,642.5,2.3,6.0,Overcast
indian,male,fat,34.0,no,no_kids,big,black,casual,red,short_sleeve,grey,long,clothes,3,10,no,36.0,17.0,1.0,Tuesday,Morning,1,29.8,35.8,24.9,75.04,0.0,0.0,,31.7,9.8,141.0,1012.2,100.0,1.0,723.3,2.6,7.0,Overcast
,male,moderate,53.0,yes,baby,big,pink,formal,red,long sleeve,black,long,clothes,5,9,no,15.0,19.0,1.0,Tuesday,Morning,0,29.8,35.8,24.9,75.04,0.0,0.0,,31.7,9.8,141.0,1012.2,100.0,1.0,723.3,2.6,7.0,Overcast
malay,female,fat,38.0,yes,young,big,white,casual,red,,blue  ,long,blankets,3,7,,16.0,14.0,1.0,Tuesday,Morning,1,29.8,35.8,24.9,75.04,0.0,0.0,,31.7,9.8,141.0,1012.2,100.0,1.0,723.3,2.6,7.0,Overcast
chinese,female,thin,29.0,no,,small,white,casual,brown,short_sleeve,black ,long,,3,7,yes,54.0,10.0,3.0,Tuesday,Afternoon,1,29.8,35.9,25.1,75.82,0.0,0.0,,31.7,7.6,172.0,1009.2,100.0,0.6,702.8,2.5,7.0,Overcast
chinese,female,moderate,44.0,no,no_kids,big,white,casual,,short_sleeve,,long,clothes,5,7,no,30.0,20.0,1.0,Tuesday,Afternoon,0,30.0,36.2,25.0,74.63,0.0,0.0,,31.7,9.4,169.0,1011.4,100.0,1.0,726.5,2.6,7.0,Overcast
chinese,female,moderate,42.0,,no_kids,small,orange,casual,black,short_sleeve,black,long,clothes,3,8,no,22.0,13.0,3.0,Tuesday,Afternoon,1,29.8,35.9,25.1,75.82,0.0,0.0,,31.7,7.6,172.0,1009.2,100.0,0.6,702.8,2.5,7.0,Overcast
chinese,male,thin,41.0,no,no_kids,big,white,,black,,brown,long,clothes,6,9,no,50.0,18.0,1.0,Tuesday,Afternoon,1,29.2,34.9,25.0,78.17,0.0,0.0,,31.7,5.5,180.0,1009.0,99.8,1.0,668.8,2.4,7.0,Overcast
,male,thin,36.0,yes,young,,red,,grey,,white,short,blankets,5,9,yes,20.0,13.0,3.0,Tuesday,Afternoon,0,30.0,36.2,25.0,74.63,0.0,0.0,,31.7,7.6,168.0,1011.4,100.0,0.6,563.0,2.0,6.0,Overcast
indian,male,fat,40.0,no,no_kids,big,,,black,,blue_jeans,long,,4,10,no,60.0,19.0,2.0,Tuesday,Afternoon,1,30.0,36.2,25.0,74.63,0.0,0.0,,31.7,7.6,168.0,1011.4,100.0,0.6,563.0,2.0,6.0,Overcast
indian,male,thin,42.0,,no_kids,big,blue,,black,short_sleeve,blue_jeans,long,clothes,6,9,no,34.0,12.0,2.0,Tuesday,Afternoon,1,30.0,36.2,25.0,74.63,0.0,0.0,,31.7,7.6,168.0,1011.4,100.0,0.6,563.0,2.0,6.0,Overcast
malay,female,fat,32.0,no,no_kids,big,purple,,,,black,long,clothes,3,7,no,58.0,10.0,2.0,Tuesday,Afternoon,0,30.0,36.2,25.0,74.63,0.0,0.0,,31.7,7.6,168.0,1011.4,100.0,0.6,563.0,2.0,6.0,Overcast
chinese,male,thin,40.0,yes,toddler,big,red,casual,,short_sleeve,white,short,clothes,5,9,yes,54.0,18.0,2.0,Tuesday,Afternoon,1,30.0,36.2,25.0,74.67,0.0,0.0,,31.7,5.5,160.0,1011.4,99.8,1.0,367.0,1.3,4.0,Overcast
foreigner ,male,moderate,39.0,no,no_kids,big,blue,casual,black,short_sleeve,,long,,3,8,no,43.0,17.0,2.0,Tuesday,Afternoon,1,30.0,36.7,25.4,76.36,0.0,0.0,,31.7,6.2,164.0,1011.4,100.0,0.6,380.4,1.4,4.0,Overcast
