Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,TotalSpent_RM,Num_of_Baskets,Day,Time_Of_The_Day,temp,feelslike,dew,humidity,precip,precipprob,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,buyDrink
3,0,2,39,0,3,0,10,2,8,1,3,0,0,0,0,0,17,14,0,0,2,32,32,50,1144,34,1,0,3,36,75,44,25,101,214,5,1,3,0
2,1,1,37,1,0,1,2,2,7,0,14,0,1,1,2,0,3,3,1,5,2,68,106,53,616,0,0,1,3,76,311,64,25,106,964,28,8,1,0
3,0,1,0,1,4,0,1,1,4,1,1,1,1,2,3,0,6,3,2,1,3,47,66,43,748,0,0,1,3,34,218,51,25,88,0,13,0,1,1
2,0,0,29,0,1,0,9,1,12,0,0,0,0,3,1,1,10,13,1,2,1,38,68,72,1499,83,1,0,3,19,272,42,25,87,0,13,0,3,1
2,0,2,12,0,1,0,1,3,2,1,11,1,1,2,2,2,25,12,2,0,0,71,106,49,546,0,0,1,3,54,318,51,25,88,925,27,7,1,1
3,0,3,5,0,2,0,5,0,11,2,7,1,0,3,0,2,37,5,1,2,3,28,28,62,1506,0,0,1,3,58,325,51,25,76,0,13,0,1,0
3,0,0,26,0,0,1,2,0,10,0,6,1,1,2,2,0,33,5,0,2,0,86,112,36,216,0,0,1,3,54,231,67,25,97,902,26,7,1,1
2,0,1,22,1,1,1,8,2,8,0,7,0,1,2,1,1,22,3,1,3,2,83,119,47,355,0,0,1,3,38,221,63,25,101,970,29,8,1,0
3,1,1,16,0,1,0,4,1,4,1,13,0,1,1,3,1,36,3,0,3,1,7,7,43,1607,0,0,1,3,18,102,51,42,76,1,0,0,0,1
2,0,0,36,2,0,2,0,2,5,0,15,1,1,1,1,1,33,13,0,1,0,105,146,44,139,0,0,1,3,39,42,51,25,88,950,28,8,1,1
1,0,0,4,0,0,0,11,2,10,0,11,1,0,0,2,0,35,4,2,2,2,8,8,43,1579,0,0,1,3,6,4,51,25,49,0,13,0,1,1
1,0,2,39,0,1,1,0,1,1,1,15,0,1,1,0,0,14,13,1,4,1,27,27,63,1586,0,0,1,3,44,57,51,19,70,0,13,0,1,0
1,0,0,10,0,1,0,3,0,5,1,5,0,1,3,1,0,11,13,1,6,2,27,27,53,1335,0,0,1,3,91,62,51,25,78,0,13,0,1,1
1,0,0,3,0,4,0,1,2,6,1,14,1,0,2,3,0,43,1,0,4,3,41,61,51,967,0,0,1,3,55,344,76,14,88,0,13,0,1,1
3,2,0,23,0,2,0,0,1,4,1,3,1,0,2,1,0,9,14,0,6,2,38,56,52,1025,0,0,1,3,9,10,51,25,53,592,16,4,1,1
0,1,2,4,0,0,1,10,1,11,0,6,1,1,2,3,0,17,7,1,5,1,87,104,26,131,0,0,1,3,110,35,51,25,88,190,4,1,1,1
3,1,2,3,1,4,1,2,0,6,0,5,1,1,1,2,0,22,7,1,4,2,9,9,43,1536,0,0,1,3,4,6,51,25,35,0,13,0,1,1
0,2,0,37,0,1,2,10,2,0,1,0,0,0,0,2,1,44,9,1,0,2,26,26,62,1586,0,0,1,3,20,322,51,25,44,0,13,0,1,1
0,0,0,12,0,1,1,7,0,2,0,11,1,1,2,1,0,2,4,2,3,1,39,58,53,1026,0,0,1,3,38,220,51,25,86,7,0,0,1,1
1,0,1,4,1,3,1,9,0,11,1,4,1,1,2,1,0,28,9,1,1,0,77,120,54,533,0,0,1,3,89,328,0,25,88,634,17,5,1,1
2,1,0,33,0,1,0,9,0,12,2,7,0,1,3,3,0,32,8,0,1,1,54,102,71,1117,9,1,0,3,35,332,20,25,87,0,13,0,3,1
0,0,2,22,1,4,1,10,0,2,1,11,0,0,1,3,1,18,9,1,4,2,17,17,52,1532,0,0,1,3,36,334,51,25,45,0,13,0,1,1
3,1,1,16,0,0,0,6,0,10,0,0,0,0,1,2,0,12,2,1,0,0,92,117,32,148,17,1,0,3,42,321,47,25,111,786,22,6,3,1
0,0,3,26,1,0,2,1,1,6,2,12,1,0,3,3,0,24,0,1,3,2,27,27,53,1329,0,0,1,3,36,169,51,25,87,0,13,0,1,1
4,0,0,1,0,2,2,8,1,10,0,9,0,2,2,2,0,22,4,1,2,2,26,26,48,1190,0,0,1,3,31,20,57,9,61,335,8,2,1,1
3,1,0,38,1,3,0,3,3,8,0,6,1,1,3,0,0,7,7,0,4,2,28,28,51,1204,0,0,1,3,33,359,51,25,88,0,13,0,1,0
1,0,0,21,0,0,0,9,1,9,1,12,0,0,3,3,0,39,12,0,4,2,28,28,52,1246,0,0,1,3,61,318,51,25,60,0,13,0,1,1
2,0,2,41,0,3,2,3,0,4,1,7,1,0,0,0,0,4,6,1,1,2,0,0,41,1668,0,0,1,3,2,5,34,25,58,0,13,0,1,1
3,0,1,27,1,4,1,1,2,3,0,0,1,1,0,2,1,45,2,1,1,0,77,130,63,649,0,0,1,3,149,213,51,25,88,493,13,4,1,0
3,1,2,34,1,0,1,8,0,3,1,5,0,1,0,0,1,44,7,1,6,0,88,122,43,252,0,0,1,3,54,157,51,25,88,1046,32,9,1,0
3,0,2,20,1,4,1,1,0,7,0,12,0,0,2,1,0,33,12,2,1,3,38,51,42,844,0,0,1,3,40,302,58,25,88,0,13,0,1,1
3,0,0,3,1,4,1,5,0,2,0,12,0,1,2,0,1,24,2,0,6,3,16,16,27,962,0,0,1,3,6,5,66,25,79,0,13,0,1,1
0,0,3,22,1,4,0,11,0,4,1,10,1,1,0,0,2,34,1,1,0,3,8,8,43,1579,0,0,1,3,36,152,51,25,68,0,13,0,1,1
0,0,1,25,1,1,1,0,0,5,1,4,0,1,3,2,0,10,14,1,0,2,27,27,46,1160,0,0,1,3,37,30,51,25,48,99,1,0,1,1
3,1,1,16,1,4,0,3,1,4,0,7,0,0,0,3,0,21,3,1,5,2,15,15,49,1519,0,0,1,3,9,6,50,25,44,349,9,2,1,0
1,1,2,24,0,3,0,9,0,1,0,13,0,1,1,0,0,26,6,1,2,2,8,8,43,1579,0,0,1,3,6,4,51,25,49,0,13,0,1,1
2,0,2,15,1,1,0,11,1,8,1,9,0,1,2,3,1,0,4,1,6,3,47,72,53,898,0,0,1,3,41,335,51,25,61,0,13,0,1,1
3,0,2,29,0,1,1,4,2,4,0,0,1,1,1,1,0,34,12,1,4,0,106,159,53,184,0,0,1,3,59,146,40,25,112,953,28,8,1,1
0,1,0,14,1,2,0,1,1,8,1,5,1,1,1,0,1,6,12,0,4,2,16,16,33,1101,0,0,1,3,16,361,51,25,61,0,13,0,1,0
0,1,2,13,0,3,1,5,2,6,0,10,0,0,3,2,0,1,2,2,3,2,28,28,61,1474,0,0,1,3,41,295,36,25,19,0,13,0,1,1
1,1,1,0,0,1,0,5,0,11,0,2,1,1,0,0,0,7,8,0,5,0,96,134,44,206,0,0,1,3,73,156,51,25,88,1024,31,9,1,1
3,2,3,2,1,1,1,4,1,11,2,8,1,1,1,3,0,46,9,2,3,3,18,18,43,1274,0,0,1,3,2,12,51,25,88,0,13,0,1,1
0,0,2,41,0,3,0,8,1,1,0,11,0,0,0,3,0,1,14,1,0,0,97,132,42,176,0,0,1,3,29,212,51,25,88,1077,35,10,1,1
0,1,2,32,0,1,0,9,1,10,1,15,0,1,3,2,0,23,12,0,0,3,36,51,51,1047,0,0,1,3,109,39,44,25,87,0,13,0,1,0
2,0,1,31,0,1,0,10,1,10,1,12,0,0,0,3,0,37,3,0,3,2,75,97,34,314,0,0,1,3,164,52,51,25,88,926,27,7,1,1
3,1,1,9,1,2,0,8,2,3,1,11,0,1,3,3,0,13,14,0,2,2,27,27,62,1560,0,0,1,3,3,346,51,25,16,0,13,0,1,1
1,1,1,4,1,0,2,0,0,1,0,12,1,0,2,2,1,25,5,1,2,1,76,107,44,416,0,0,1,3,107,248,51,25,88,11,0,0,1,1
3,0,1,34,1,3,0,8,2,0,1,5,1,0,2,0,1,1,8,2,3,0,105,129,28,69,3,1,0,3,138,52,57,21,112,466,12,3,3,1
1,1,2,25,0,1,0,3,1,11,1,5,0,1,3,2,0,35,14,1,5,3,27,27,62,1548,0,0,1,3,40,318,51,25,52,0,13,0,1,1
3,2,2,2,1,4,1,1,1,5,0,12,1,1,1,0,0,27,2,2,0,3,27,27,53,1316,0,0,1,3,16,96,51,25,88,0,13,0,1,0
2,1,1,22,0,1,0,9,0,8,1,5,0,0,3,1,1,8,14,2,2,2,31,31,53,1196,0,0,1,3,40,360,51,25,69,0,13,0,1,1
1,1,3,9,0,4,1,10,2,10,1,2,0,1,0,3,1,6,0,1,4,2,16,16,32,1070,0,0,1,3,34,325,51,25,70,0,13,0,1,1
3,1,0,3,0,3,0,0,0,9,1,5,0,1,3,1,0,11,7,2,0,2,17,17,43,1309,0,0,1,3,34,309,51,25,69,0,13,0,1,1
1,0,0,2,1,3,1,2,2,0,1,3,0,0,1,3,1,11,2,1,5,0,94,112,26,99,0,0,1,3,122,64,63,25,120,996,30,8,1,1
3,1,1,8,1,4,1,9,0,7,0,2,0,1,2,3,1,8,4,0,4,2,8,8,43,1579,0,0,1,3,2,8,51,25,44,24,1,0,1,1
1,0,2,35,1,2,1,8,1,5,0,5,1,1,3,0,1,23,5,1,3,2,14,14,51,1606,0,0,1,3,32,342,33,25,24,0,13,0,1,1
2,0,2,3,0,2,0,2,2,9,0,1,1,1,2,0,1,12,10,2,3,0,106,128,26,56,0,0,1,3,121,53,51,25,88,476,13,3,1,1
1,0,0,42,1,1,1,0,2,1,0,0,0,0,1,3,1,14,1,2,1,1,21,21,53,1465,87,1,0,3,25,31,64,40,68,0,13,0,2,1
0,1,2,18,0,1,2,1,3,10,1,15,1,1,3,3,0,30,1,1,6,3,8,8,43,1579,0,0,1,3,36,92,51,25,29,0,13,0,1,1
0,1,1,41,0,2,0,8,2,4,1,0,0,2,0,1,0,41,13,2,2,2,17,17,44,1351,0,0,1,3,48,314,51,25,88,0,13,0,1,1
2,1,2,39,1,2,1,3,0,9,0,6,0,0,0,1,1,45,14,2,0,0,93,117,32,141,18,1,0,3,40,318,47,25,111,811,23,6,3,0
3,0,2,34,2,1,0,11,0,9,1,0,0,1,2,2,0,47,5,2,2,0,87,147,64,537,0,0,1,3,110,203,21,46,4,807,23,6,0,1
1,1,2,26,0,1,0,9,3,6,0,0,0,1,0,2,0,0,1,0,1,0,96,145,53,292,0,0,1,3,109,224,28,25,95,846,24,7,1,1
0,1,0,30,0,2,0,6,0,5,0,12,1,1,2,3,0,29,6,0,2,2,27,27,53,1316,0,0,1,3,40,16,51,25,60,0,13,0,1,1
1,1,2,9,1,1,1,3,0,2,0,6,1,0,1,0,0,31,0,1,0,2,9,9,43,1554,0,0,1,3,21,332,51,25,79,0,13,0,1,0
2,0,2,32,1,4,2,9,0,10,1,0,1,0,2,0,0,34,6,1,2,0,77,119,53,509,0,0,1,3,54,161,51,25,88,559,15,4,1,1
0,1,0,18,0,1,0,11,0,12,1,15,1,1,0,2,1,47,12,0,2,2,49,77,55,880,0,0,1,3,87,85,51,32,13,0,13,0,0,1
