name,date,time,temp,feelslike,dew,humidity,precip,precipprob,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions
Kuala Lumpur,01/12/2015,00:00:00,25.1,25.1,24.0,93.54,0.0,0,,,4.1,288.0,,89.0,10.0,0.0,,0,Partially cloudy
Kuala Lumpur,01/12/2015,01:00:00,25.0,25.0,24.0,94.19,0.0,0,,,0.6,6.0,,89.0,10.0,0.0,,0,Partially cloudy
Kuala Lumpur,01/12/2015,02:00:00,24.8,24.8,23.8,94.33,0.0,0,,,0.9,4.0,1011.3,89.0,10.0,0.0,,0,Partially cloudy
Kuala Lumpur,01/12/2015,03:00:00,24.1,24.1,24.0,99.3,0.0,0,,,0.2,325.0,,89.0,8.0,0.0,,0,Partially cloudy
Kuala Lumpur,01/12/2015,04:00:00,24.0,24.0,23.1,94.81,0.0,0,,,0.0,0.0,,89.0,9.8,0.0,,0,Partially cloudy
Kuala Lumpur,01/12/2015,05:00:00,24.0,24.0,23.2,95.12,0.0,0,,,1.8,340.0,1009.9,89.0,9.8,0.0,,0,Partially cloudy
Kuala Lumpur,01/12/2015,06:00:00,24.0,24.0,23.0,94.15,0.0,0,,,1.8,327.0,,89.0,9.9,0.0,,0,Partially cloudy
Kuala Lumpur,01/12/2015,07:00:00,24.0,24.0,23.0,94.15,0.0,0,,,1.8,315.0,,89.0,8.0,22.6,0.1,0,Partially cloudy
Kuala Lumpur,01/12/2015,08:00:00,24.1,24.1,23.8,97.64,0.0,0,,,2.2,320.0,1011.0,88.4,9.5,149.8,0.5,1,Partially cloudy
Kuala Lumpur,01/12/2015,09:00:00,26.0,26.0,24.0,88.76,0.0,0,,,3.8,351.0,,89.0,9.9,337.4,1.2,3,Partially cloudy
Kuala Lumpur,01/12/2015,10:00:00,28.0,31.9,24.0,78.92,0.0,0,,,9.2,307.0,,89.0,10.0,522.0,1.9,5,Partially cloudy
Kuala Lumpur,01/12/2015,11:00:00,29.8,34.8,24.0,71.24,0.0,0,,,4.1,338.0,1012.2,89.0,13.1,664.5,2.4,7,Partially cloudy
